week,total_records,risk_records,avg_sentiment,avg_negative_sentiment,avg_risk_keyword_count,risk_sentiment_score,company_Anthropic,company_Google,company_Meta,company_Microsoft,company_Multiple,company_OpenAI,company_xAI,risk_rate,lag_1_risk_sentiment_score,lag_2_risk_sentiment_score,lag_3_risk_sentiment_score,lag_1_risk_rate,lag_1_avg_sentiment,lag_1_avg_negative_sentiment,rolling_3_risk_sentiment_score,rolling_4_risk_sentiment_score,rolling_3_avg_sentiment,rolling_3_risk_rate,target_next_week_risk_score
2025-11-17,8,5,-0.35109999999999997,0.67555,0.875,0.5926375,6,1,0,0,0,1,0,0.625,0.7765833333333334,0.22062500000000002,0.834775,1.0,0.4673333333333334,0.2663333333333333,0.5299486111111111,0.6061552083333334,-0.2162555555555555,0.5416666666666666,0.7490125000000001
2025-11-24,1,1,0.5279,0.23604999999999998,2.0,0.7490125000000001,0,0,0,0,0,0,1,1.0,0.5926375,0.7765833333333334,0.22062500000000002,0.625,-0.35109999999999997,0.67555,0.7060777777777778,0.5847145833333334,0.21471111111111119,0.875,0.6895375
2025-12-01,2,2,0.8437,0.07815,1.0,0.6895375,2,0,0,0,0,0,0,1.0,0.7490125000000001,0.5926375,0.7765833333333334,1.0,0.5279,0.23604999999999998,0.6770625,0.7019427083333334,0.34016666666666673,0.875,0.7497625000000001
2025-12-08,3,3,0.46856666666666663,0.26571666666666666,1.6666666666666667,0.7497625000000001,0,1,0,0,1,1,0,1.0,0.6895375,0.7490125000000001,0.5926375,1.0,0.8437,0.07815,0.7294375000000001,0.6952375000000001,0.6133888888888889,1.0,0.46320625000000004
2025-12-15,2,1,-0.02564999999999998,0.512825,0.5,0.46320625000000004,0,0,0,0,0,2,0,0.5,0.7497625000000001,0.6895375,0.7490125000000001,1.0,0.46856666666666663,0.26571666666666666,0.6341687500000001,0.6628796875,0.42887222222222227,0.8333333333333334,0.8669625000000001
2025-12-29,3,3,-0.4157,0.70785,2.0,0.8669625000000001,0,2,0,0,0,1,0,1.0,0.46320625000000004,0.7497625000000001,0.6895375,0.5,-0.02564999999999998,0.512825,0.6933104166666668,0.6923671875000001,0.00907222222222226,0.8333333333333334,0.8601500000000001
2026-01-05,1,1,-0.3612,0.6806,2.0,0.8601500000000001,0,0,0,0,0,1,0,1.0,0.8669625000000001,0.46320625000000004,0.7497625000000001,1.0,-0.4157,0.70785,0.7301062500000001,0.7350203125000001,-0.2675166666666666,0.8333333333333334,0.6909000000000001
2026-01-12,3,3,0.8328000000000001,0.08360000000000001,1.0,0.6909000000000001,0,3,0,0,0,0,0,1.0,0.8601500000000001,0.8669625000000001,0.46320625000000004,1.0,-0.3612,0.6806,0.8060041666666667,0.7203046875000001,0.01863333333333339,1.0,0.7169083333333334
2026-01-19,3,3,0.6780666666666667,0.16096666666666667,1.3333333333333333,0.7169083333333334,0,2,0,0,1,0,0,1.0,0.6909000000000001,0.8601500000000001,0.8669625000000001,1.0,0.8328000000000001,0.08360000000000001,0.7559861111111111,0.7837302083333335,0.38322222222222235,1.0,0.79588125
2026-01-26,6,6,0.2862833333333334,0.3568583333333333,3.0,0.79588125,0,0,6,0,0,0,0,1.0,0.7169083333333334,0.6909000000000001,0.8601500000000001,1.0,0.6780666666666667,0.16096666666666667,0.7345631944444445,0.7659598958333333,0.5990500000000001,1.0,0.125
2026-02-02,1,0,0.0,0.5,0.0,0.125,0,0,0,0,0,1,0,0.0,0.79588125,0.7169083333333334,0.6909000000000001,1.0,0.2862833333333334,0.3568583333333333,0.5459298611111111,0.5821723958333334,0.32145000000000007,0.6666666666666666,0.7024776785714286
2026-02-09,14,12,0.04303571428571429,0.4784821428571428,1.2857142857142858,0.7024776785714286,8,0,1,0,0,0,5,0.8571428571428571,0.125,0.79588125,0.7169083333333334,0.0,0.0,0.5,0.5411196428571429,0.5850668154761904,0.10977301587301597,0.6190476190476191,0.715025
2026-03-02,1,1,0.6398,0.18009999999999998,1.0,0.715025,0,1,0,0,0,0,0,1.0,0.7024776785714286,0.125,0.79588125,0.8571428571428571,0.04303571428571429,0.4784821428571428,0.5141675595238095,0.5845959821428571,0.22761190476190485,0.6190476190476191,0.5831885416666668
2026-03-09,12,7,-0.40550833333333336,0.7027541666666667,1.4166666666666667,0.5831885416666668,6,0,0,0,1,5,0,0.5833333333333334,0.715025,0.7024776785714286,0.125,1.0,0.6398,0.18009999999999998,0.6668970734126985,0.5314228050595239,0.0924424603174604,0.8134920634920636,0.12691875
2026-03-23,6,0,-0.015350000000000011,0.507675,0.0,0.12691875,0,0,0,0,6,0,0,0.0,0.5831885416666668,0.715025,0.7024776785714286,0.5833333333333334,-0.40550833333333336,0.7027541666666667,0.4750440972222223,0.5319024925595239,0.07298055555555563,0.5277777777777778,0.5767104166666667
2026-03-30,12,8,0.026316666666666683,0.4868416666666667,1.0833333333333333,0.5767104166666667,7,0,0,0,5,0,0,0.6666666666666666,0.12691875,0.5831885416666668,0.715025,0.0,-0.015350000000000011,0.507675,0.4289392361111111,0.5004606770833333,-0.13151388888888882,0.4166666666666667,0.5729818181818183
2026-04-06,11,8,0.3579636363636363,0.3210181818181818,1.0,0.5729818181818183,6,0,0,0,0,5,0,0.7272727272727273,0.5767104166666667,0.12691875,0.5831885416666668,0.6666666666666666,0.026316666666666683,0.4868416666666667,0.42553699494949493,0.4649498816287879,0.12297676767676774,0.4646464646464647,0.5891762500000001
2026-04-13,10,7,0.08659000000000001,0.456705,1.0,0.5891762500000001,4,0,0,0,6,0,0,0.7,0.5729818181818183,0.5767104166666667,0.12691875,0.7272727272727273,0.3579636363636363,0.3210181818181818,0.5796228282828283,0.46644680871212124,0.15695676767676775,0.6979797979797979,0.7889035714285715
2026-04-20,7,7,0.14020000000000002,0.42989999999999995,2.5714285714285716,0.7889035714285715,7,0,0,0,0,0,0,1.0,0.5891762500000001,0.5729818181818183,0.5767104166666667,0.7,0.08659000000000001,0.456705,0.6503538798701299,0.6319430140692641,0.19491787878787883,0.8090909090909091,0.24969000000000002
2026-04-27,10,2,0.09047999999999999,0.45476,0.3,0.24969000000000002,8,0,1,0,0,1,0,0.2,0.7889035714285715,0.5891762500000001,0.5729818181818183,1.0,0.14020000000000002,0.42989999999999995,0.5425899404761905,0.5501879099025975,0.10575666666666676,0.6333333333333332,0.1791605769230769
2026-05-04,13,2,0.3913307692307692,0.30433461538461537,0.15384615384615385,0.1791605769230769,4,1,5,0,1,2,0,0.15384615384615385,0.24969000000000002,0.7889035714285715,0.5891762500000001,0.2,0.09047999999999999,0.45476,0.4059180494505495,0.4517325995879121,0.20733692307692317,0.45128205128205123,0.9236625
2026-05-11,1,1,-0.8693,0.93465,2.0,0.9236625,0,0,1,0,0,0,0,1.0,0.1791605769230769,0.24969000000000002,0.7889035714285715,0.15384615384615385,0.3913307692307692,0.30433461538461537,0.4508376923076923,0.5353541620879121,-0.12916307692307685,0.4512820512820513,
